M(gamma gamma) [GeV],Nevents,Sigma,Hypothesis,Generating Function
170.0,21666,147.19374986730924,21769.182263855884,2.4080362897930625e-23
190.0,13583,116.54612820681776,13667.202634146628,1.3898495441170672e-21
210.0,9009,94.91575211733824,8955.635445820933,6.847930610340978e-20
230.0,6038,77.70456872024965,6078.8864508108345,2.8497404617970547e-18
250.0,4281,65.42935121182236,4250.075995357794,9.6143851215661e-17
270.0,3062,55.33534132902769,3047.241913270261,2.2166012167945816e-15
290.0,2230,47.22287581247038,2232.7905462588983,-2.7207893694059703e-15
310.0,1629,40.36087214122113,1667.2790457202932,-3.774951733894586e-12
330.0,1237,35.17101079013795,1265.8978945413135,-2.4115483745567876e-10
350.0,982,31.336879231984796,975.4404111629782,-9.671887063635593e-09
370.0,798,28.24889378365107,761.6044407245673,-2.7950336088687044e-07
390.0,634,25.179356624028344,601.7353655204735,-6.020466297194962e-06
410.0,467,21.61018278497431,480.54551704518565,-9.772129987681336e-05
430.0,371,19.261360284258224,387.5172142121857,-0.0012001180802752695
450.0,298,17.26267650163207,315.2870470679505,-0.011169717323012779
470.0,296,17.204650534085253,258.6175817273143,-0.0788370432652954
490.0,225,15.0,213.72933170786695,-0.42205684430824375
510.0,189,13.74772708486752,177.8585812544653,-1.7135611725064668
530.0,127,11.269427669584644,148.95965484125225,-5.273035499528175
550.0,125,11.180339887498949,125.50127486168256,-12.280505954203402
570.0,70,8.366600265340756,106.32524497435084,-21.567009654898367
590.0,51,7.14142842854285,90.54706427365987,-28.28647721592562
610.0,50,7.0710678118654755,77.48515894492478,-26.904666411514675
630.0,55,7.416198487095663,66.6099069725894,-16.558372369375466
650.0,63,7.937253933193772,57.50652327046477,-2.0648210796456734
670.0,64,8.0,49.84776369928468,10.571651530313359
690.0,50,7.0710678118654755,43.37366054378107,18.121202824723525
710.0,57,7.54983443527075,37.87634464331148,20.265018323298353
730.0,46,6.782329983125268,33.18858249368356,18.200140930431154
750.0,39,6.244997998398398,29.17505096352989,13.771444733857537
770.0,52,7.211102550927978,25.72564652470056,8.889967135963623
790.0,20,4.47213595499958,22.7503185959474,4.910852315845939
810.0,28,5.291502622129181,20.175053303480862,2.322917267587701
830.0,26,5.0990195135927845,17.938731828003792,0.9409887772115216
850.0,16,4.0,15.990658175595023,0.32645090828220935
870.0,15,3.872983346207417,14.288602656584827,0.09699187438461804
890.0,13,3.605551275463989,12.797245101945625,0.024679537861011992
910.0,8,2.8284271247461903,11.486929744789895,0.005378026185062345
930.0,14,3.7416573867739413,10.332664459753238,0.001003674805083739
950.0,6,2.449489742783178,9.313312612952965,0.00016041587809669176
970.0,14,3.7416573867739413,8.410937509469983,2.1957652320671265e-05
990.0,14,3.7416573867739413,7.6102683287445005,2.574000791172022e-06
1010.0,5,2.23606797749979,6.898263233424175,2.584137798856676e-07
1030.0,5,2.23606797749979,6.263750552399654,2.221809819818134e-08
1050.0,4,2.0,5.697132962895251,1.6359962951458721e-09
1070.0,3,1.7320508075688772,5.190142717587674,1.0316727760205535e-10
1090.0,5,2.23606797749979,4.735638395440348,5.571675897547852e-12
1110.0,4,2.0,4.327435560117261,2.5769971703735676e-13
1130.0,7,2.6457513110645907,3.9601652087052703,1.0207661464552931e-14
1150.0,1,1.0,3.62915507787563,3.462763217068454e-16
1170.0,3,1.7320508075688772,3.3303298144960807,1.00601290907122e-17
1190.0,2,1.4142135623730951,3.060126766597693,2.5030442782053757e-19
1210.0,2,1.4142135623730951,2.8154247496656892,5.3335667114971054e-21
1230.0,1,1.0,2.5934836242611543,9.733099240584959e-23
1250.0,2,1.4142135623730951,2.391892908663247,1.5211386182285738e-24
1270.0,4,2.0,2.208527963775625,2.035966620770268e-26
