#: table_doi: 10.17182/hepdata.79924.v1/t9
#: name: Table 9
#: description: Distribution of the diphoton invariant mass for data events passing the spin-0 selection. The data points are plotted at the centre of each bin. The error bars indicate statistical uncertainties. The distribution consists of not only genuine diphoton events, but also events where at least one photon is faked by a jet. There is no data event above 2700 GeV.
#: data_file: Spin0_invmass.yaml
#: keyword observables: Number of events
#: keyword cmenergies: 13000.0
#: keyword phrases: Diphoton invariant mass
#: LUMINOSITY [fb$^{-1}$],,,36.7
#: SQRT(S) [GeV],,,13000
M(gamma gamma) [GeV],M(gamma gamma) [GeV] LOW,M(gamma gamma) [GeV] HIGH,Number of events [Number of events],stat +,stat -
170.0,160,180,21738,147.939,-146.939
190.0,180,200,13773,117.8595,-116.8595
210.0,200,220,8960,95.1586,-94.1586
230.0,220,240,6031,78.16112,-77.16112
250.0,240,260,4260,65.77059,-64.77059
270.0,260,280,2969,54.99082,-53.99082
290.0,280,300,2218,47.5983,-46.5983
310.0,300,320,1662,41.2707,-40.2707
330.0,320,340,1274,36.19664,-35.19664
350.0,340,360,1002,32.15833,-31.15833
370.0,360,380,739,27.68915,-26.68915
390.0,380,400,632,25.64458,-24.64458
410.0,400,420,475,22.30023,-21.30023
430.0,420,440,389,20.22942,-19.22942
450.0,440,460,309,18.08551,-17.08551
470.0,460,480,272,17.0,-16.0
490.0,480,500,229,15.641,-14.641
510.0,500,520,171,13.58625,-12.58625
530.0,520,540,154,12.91974,-11.91974
550.0,540,560,126,11.7361,-10.7361
570.0,560,580,109,10.95227,-9.952272
590.0,580,600,96,10.83201,-9.780867
610.0,600,620,83,10.14705,-9.092044
630.0,620,640,67,9.226102,-8.164873
650.0,640,660,61,8.852952,-7.788779
670.0,660,680,48,7.97633,-6.903979
690.0,680,700,49,8.047634,-6.976026
710.0,700,720,43,7.608278,-6.531834
730.0,720,740,45,7.757905,-6.683179
750.0,740,760,22,5.761366,-4.654502
770.0,760,780,31,6.627601,-5.537565
790.0,780,800,26,6.164324,-5.066015
810.0,800,820,22,5.761366,-4.654502
830.0,820,840,20,5.546519,-4.434448
850.0,840,860,20,5.546519,-4.434448
870.0,860,880,14,4.830381,-3.6965
890.0,880,900,8,3.945142,-2.768386
910.0,900,920,12,4.559819,-3.415266
930.0,920,940,6,3.583642,-2.379931
950.0,940,960,8,3.945142,-2.768386
970.0,960,980,3,2.918186,-1.632705
990.0,980,1000,9,4.110204,-2.943461
1010.0,1000,1020,6,3.583642,-2.379931
1030.0,1020,1040,7,3.770281,-2.58147
1050.0,1040,1060,7,3.770281,-2.58147
1070.0,1060,1080,3,2.918186,-1.632705
1090.0,1080,1100,4,3.162753,-1.914339
1110.0,1100,1120,6,3.583642,-2.379931
1130.0,1120,1140,2,2.63786,-1.291815
1150.0,1140,1160,4,3.162753,-1.914339
1170.0,1160,1180,1,2.299527,-0.827246
1190.0,1180,1200,3,2.918186,-1.632705
1210.0,1200,1220,1,2.299527,-0.827246
1230.0,1220,1240,3,2.918186,-1.632705
1250.0,1240,1260,5,3.382473,-2.159691
1290.0,1280,1300,1,2.299527,-0.827246
1310.0,1300,1320,2,2.63786,-1.291815
1330.0,1320,1340,3,2.918186,-1.632705
1350.0,1340,1360,2,2.63786,-1.291815
1370.0,1360,1380,1,2.299527,-0.827246
1390.0,1380,1400,1,2.299527,-0.827246
1430.0,1420,1440,3,2.918186,-1.632705
1450.0,1440,1460,1,2.299527,-0.827246
1470.0,1460,1480,1,2.299527,-0.827246
1570.0,1560,1580,1,2.299527,-0.827246
1590.0,1580,1600,3,2.918186,-1.632705
1610.0,1600,1620,2,2.63786,-1.291815
1710.0,1700,1720,1,2.299527,-0.827246
1790.0,1780,1800,1,2.299527,-0.827246
1870.0,1860,1880,1,2.299527,-0.827246
2110.0,2100,2120,1,2.299527,-0.827246
2230.0,2220,2240,1,2.299527,-0.827246
2290.0,2280,2300,1,2.299527,-0.827246
2370.0,2360,2380,1,2.299527,-0.827246
2570.0,2560,2580,1,2.299527,-0.827246

