M(gamma gamma) [GeV],Nevents,Sigma,Hypothesis,Generating Function
170.0,21692,147.2820423541173,21769.182263855884,2.0974912521062703e-14
190.0,13664,116.89311356961966,13667.202634146628,1.5203583452112762e-10
210.0,9039,95.07365565707464,8955.635445820933,3.20425121808166e-07
230.0,6103,78.12169993030106,6078.8864508108345,0.00019635499138025996
250.0,4222,64.97691897897283,4250.075995357794,0.03498582543198186
270.0,3038,55.11805511808268,3047.241913270261,1.8124961626223404
290.0,2199,46.89349635077342,2232.7905462588983,27.30215063207887
310.0,1726,41.54515615568198,1667.2790457202932,119.57803509137239
330.0,1404,37.469987990390386,1265.8978945413135,152.2792604236218
350.0,1059,32.54228019054596,975.4404111629782,56.385170332436765
370.0,818,28.600699292150182,761.6044407245673,6.070491098164339
390.0,599,24.474476501040833,601.7353655204735,0.1900282185900353
410.0,467,21.61018278497431,480.54551704518565,0.001737973448715615
430.0,357,18.894443627691185,387.5172142121857,0.0002061039416068006
450.0,330,18.16590212458495,315.2870470679505,0.003354298214855432
470.0,246,15.684387141358123,258.6175817273143,0.038603911382987965
490.0,244,15.620499351813308,213.72933170786695,0.3072010902801985
510.0,172,13.114877048604,177.8585812544653,1.6903457389308036
530.0,158,12.569805089976535,148.95965484125225,6.431165433858698
550.0,144,12.0,125.50127486168256,16.918629026127423
570.0,161,12.68857754044952,106.32524497435084,30.775279419354217
590.0,123,11.090536506409418,90.54706427365987,38.70795405470899
610.0,130,11.40175425099138,77.48515894492478,33.663564008678804
630.0,84,9.16515138991168,66.6099069725894,20.243505219925954
650.0,69,8.306623862918075,57.50652327046477,8.41872357856391
670.0,50,7.0710678118654755,49.84776369928468,2.4291324324927506
690.0,46,6.782329983125268,43.37366054378107,0.5248037278947324
710.0,43,6.557438524302,37.87634464331148,0.2408092786732882
730.0,25,5.0,33.18858249368356,0.5915575945292508
750.0,27,5.196152422706632,29.17505096352989,1.6452004701733636
770.0,27,5.196152422706632,25.72564652470056,3.877093070306998
790.0,22,4.69041575982343,22.7503185959474,7.665515882643006
810.0,26,5.0990195135927845,20.175053303480862,12.712234765503409
830.0,39,6.244997998398398,17.938731828003792,17.68265092914937
850.0,35,5.916079783099616,15.990658175595023,20.631178741911405
870.0,29,5.385164807134504,14.288602656584827,20.191948263012133
890.0,21,4.58257569495584,12.797245101945625,16.581651484253193
910.0,21,4.58257569495584,11.486929744789895,11.440274994347197
930.0,23,4.795831523312719,10.332664459753238,6.675284587576366
950.0,14,3.7416573867739413,9.313312612952965,3.410142204620264
970.0,7,2.6457513110645907,8.410937509469983,1.7950548052252917
990.0,7,2.6457513110645907,7.6102683287445005,1.466598717156609
1010.0,3,1.7320508075688772,6.898263233424175,2.027157607837157
1030.0,9,3.0,6.263750552399654,3.211832494329131
1050.0,6,2.449489742783178,5.697132962895251,4.811047747411178
1070.0,8,2.8284271247461903,5.190142717587674,6.5490549908740485
1090.0,8,2.8284271247461903,4.735638395440348,8.052459787886828
1110.0,16,4.0,4.327435560117261,8.936514024124504
1130.0,9,3.0,3.9601652087052703,8.953061411952092
1150.0,14,3.7416573867739413,3.62915507787563,8.10317983884597
1170.0,8,2.8284271247461903,3.3303298144960807,6.638956128319056
1190.0,5,2.23606797749979,3.060126766597693,4.951787706748982
1210.0,7,2.6457513110645907,2.8154247496656892,3.415977214599708
1230.0,4,2.0,2.5934836242611543,2.273112488538429
1250.0,5,2.23606797749979,2.391892908663247,1.6005545443624993
1270.0,2,1.4142135623730951,2.208527963775625,1.349072953898136
1290.0,3,1.7320508075688772,2.041512542011824,1.4047498959954643
1310.0,5,2.23606797749979,1.8891866990805428,1.6385474972622514
1330.0,3,1.7320508075688772,1.7500792368545515,1.9324890003486652
1350.0,9,3.0,1.622883984205117,2.1900955097569628
1370.0,2,1.4142135623730951,1.5064393366791784,2.341985967313365
1390.0,3,1.7320508075688772,1.399710569862866,2.3511911316587577
1410.0,3,1.7320508075688772,1.3017745189512366,2.216097545036796
1430.0,1,1.0,1.2118062814307686,1.967131359886808
1450.0,1,1.0,1.1290676532950388,1.6559937942219984
1470.0,4,2.0,1.0528970538060503,1.3402891999446105
1490.0,1,1.0,0.982700731065605,1.0686897154583583
1510.0,1,1.0,0.917945071856949,0.8711830642523115
1530.0,1,1.0,0.8581498654038342,0.7563015932782173
1550.0,0,0.0,0.802882392727195,0.7143500640943335
1570.0,0,0.0,0.7517522318596415,0.7239889527964836
1590.0,2,1.4142135623730951,0.7044066848805646,0.7594432025732569
1610.0,1,1.0,0.6605267460337079,0.7965144756112843
1630.0,2,1.4142135623730951,0.6198235414761324,0.8166408850641511
1650.0,0,0.0,0.5820351808064236,0.8089540404512459
1670.0,3,1.7320508075688772,0.5469239686992736,0.7705767867993288
1690.0,0,0.0,0.5142739319568322,0.7054945857733879
1710.0,0,0.0,0.4838886232605356,0.6224118879531815
1730.0,1,1.0,0.4555891680258811,0.5321135244999878
1750.0,3,1.7320508075688772,0.4292125251569834,0.4449142278796275
1770.0,0,0.0,0.4046099362769911,0.3687134693909186
1790.0,0,0.0,0.3816455412659848,0.3079677037627912
1810.0,0,0.0,0.36019514074730064,0.2636177347100018
1830.0,0,0.0,0.3401450885913213,0.23376665375769579
1850.0,2,1.4142135623730951,0.3213912996078679,0.21476886458556493
1870.0,0,0.0,0.3038383594207984,0.20238177539490637
1890.0,1,1.0,0.2873987251012107,0.19271693749504162
1910.0,2,1.4142135623730951,0.2719920065119907,0.18285228353102456
1930.0,1,1.0,0.25754431951531365,0.17108339731852554
1950.0,0,0.0,0.24398770324024896,0.15687263967474285
1970.0,1,1.0,0.2312595945209216,0.14059520810018908
1990.0,2,1.4142135623730951,0.21930235341437962,0.12318852584360263
2010.0,0,0.0,0.2080628344069089,0.10579722721840529
2030.0,0,0.0,0.19749199853096008,0.08948044696949205
2050.0,0,0.0,0.1875445621535639,0.07501848516971768
2070.0,0,0.0,0.1781786786707046,0.06282764117257035
2090.0,0,0.0,0.16935564975901077,0.05296927384561513
2110.0,0,0.0,0.16103966320360985,0.04522475913517841
2130.0,0,0.0,0.15319755464518403,0.039202909730021676
2150.0,0,0.0,0.1457985908757491,0.03444946219548757
2170.0,0,0.0,0.13881427256600967,0.03053670639096637
2190.0,0,0.0,0.13221815453146554,0.027121896413958554
2210.0,0,0.0,0.12598568184332481,0.023972806267893963
2230.0,0,0.0,0.12009404026670721,0.020965804242150714
2250.0,0,0.0,0.11452201966539752,0.01806547228396024
2270.0,0,0.0,0.10924988915180885,0.01529543113376757
2290.0,0,0.0,0.10425928288488866,0.012708544415209862
2310.0,1,1.0,0.0995330955292954,0.010362099388284982
2330.0,1,1.0,0.0950553864877928,0.008300785359355394
2350.0,0,0.0,0.09081129210685676,0.00654791909979565
2370.0,0,0.0,0.08678694513421326,0.005103710821671902
2390.0,0,0.0,0.08296940077738908,0.003948490652988902
2410.0,1,1.0,0.07934656877541502,0.003048622178367456
2430.0,0,0.0,0.07590715095228875,0.00236312278973742
2450.0,0,0.0,0.0726405837714767,0.0018495704103045389
2470.0,0,0.0,0.06953698545621874,0.001468505441019317
2490.0,0,0.0,0.06658710728126957,0.001186091171338458
2510.0,0,0.0,0.06378228867846208,0.0009751949617392321
2530.0,0,0.0,0.06111441583156376,0.0008152747414680635
2550.0,0,0.0,0.058575883465693535,0.00069152251890708
2570.0,0,0.0,0.056159559563428156,0.0005936738727063429
2590.0,0,0.0,0.05385875276397015,0.0005147903235031005
2610.0,0,0.0,0.051667182223632147,0.00045020321021006896
2630.0,0,0.0,0.049578949735669786,0.00039670262526473004
2650.0,0,0.0,0.047588513925382,0.0003519780117654252
2670.0,0,0.0,0.04569066635258205,0.00031427135522630727
2690.0,0,0.0,0.043880509368200794,0.0002821851304978723
2710.0,0,0.0,0.04215343558507618,0.00025458743045424914
