M(gamma gamma) [GeV],Nevents,Sigma,Hypothesis,Generating Function
170.0,21740,147.44490496453244,21769.182263855884,0.0
190.0,13640,116.79041056525146,13667.202634146628,0.0
210.0,8876,94.21252570651102,8955.635445820933,0.0
230.0,6210,78.80355321938218,6078.8864508108345,0.0
250.0,4162,64.51356446515724,4250.075995357794,0.0
270.0,3059,55.308227236099334,3047.241913270261,0.0
290.0,2274,47.686476070265456,2232.7905462588983,0.0
310.0,1645,40.55859958134649,1667.2790457202932,0.0
330.0,1308,36.16628264005025,1265.8978945413135,0.0
350.0,954,30.886890422961002,975.4404111629782,0.07226202501669832
370.0,774,27.820855486487112,761.6044407245673,6.35032448622826
390.0,610,24.698178070456937,601.7353655204735,19.173291821681232
410.0,513,22.64950330581225,480.54551704518565,33.62896018045899
430.0,451,21.236760581595302,387.5172142121857,45.67701228529961
450.0,346,18.601075237738275,315.2870470679505,52.665730164427316
470.0,323,17.97220075561143,258.6175817273143,53.52147273397344
490.0,266,16.30950643030009,213.72933170786695,48.63392342179952
510.0,208,14.422205101855956,177.8585812544653,39.506078016444235
530.0,183,13.527749258468683,148.95965484125225,28.266747496207216
550.0,142,11.916375287812984,125.50127486168256,17.152246875986265
570.0,107,10.344080432788601,106.32524497435084,8.053770735381306
590.0,82,9.055385138137417,90.54706427365987,2.201675979282413
610.0,73,8.54400374531753,77.48515894492478,0.023604805699378062
630.0,66,8.12403840463596,66.6099069725894,1.1770778940342979
650.0,51,7.14142842854285,57.50652327046477,4.725453435147038
670.0,73,8.54400374531753,49.84776369928468,9.40404881740838
690.0,50,7.0710678118654755,43.37366054378107,13.913568637957184
710.0,64,8.0,37.87634464331148,17.181056949162738
730.0,55,7.416198487095663,33.18858249368356,18.542351754234332
750.0,48,6.928203230275509,29.17505096352989,17.82070423257025
770.0,39,6.244997998398398,25.72564652470056,15.299210052701081
790.0,26,5.0990195135927845,22.7503185959474,11.605432565078164
810.0,25,5.0,20.175053303480862,7.541428134273662
830.0,13,3.605551275463989,17.938731828003792,3.899153109366207
