M(gamma gamma) [GeV],Nevents,Sigma,Hypothesis,Generating Function
170.0,21897,147.9763494616623,21769.182263855884,0.0005846449698725837
190.0,13670,116.91877522451216,13667.202634146628,0.0011915546927417225
210.0,9037,95.06313691436866,8955.635445820933,0.0023690008722001845
230.0,6065,77.87810988975015,6078.8864508108345,0.00459458124162627
250.0,4385,66.21933252457322,4250.075995357794,0.008692728689524558
270.0,3081,55.50675634551167,3047.241913270261,0.016043377041170415
290.0,2199,46.89349635077342,2232.7905462588983,0.02888450508257429
310.0,1764,42.0,1667.2790457202932,0.050729846281359625
330.0,1289,35.90264614203248,1265.8978945413135,0.08691438018403547
350.0,1006,31.71750305430741,975.4404111629782,0.14526105826643493
370.0,761,27.586228448267445,761.6044407245673,0.23682974396811846
390.0,633,25.15949125081825,601.7353655204735,0.3766628277277685
410.0,472,21.72556098240043,480.54551704518565,0.5843845893732076
430.0,404,20.09975124224178,387.5172142121857,0.8844519063978181
450.0,343,18.520259177452136,315.2870470679505,1.30580751988045
470.0,270,16.431676725154983,258.6175817273143,1.8806742726429884
490.0,191,13.820274961085254,213.72933170786695,2.642271722849591
510.0,168,12.96148139681572,177.8585812544653,3.6213528758673754
530.0,155,12.449899597988733,148.95965484125225,4.841653329749524
550.0,142,11.916375287812984,125.50127486168256,6.314602387708428
570.0,113,10.63014581273465,106.32524497435084,8.033925576182003
590.0,111,10.535653752852738,90.54706427365987,9.971008220668828
610.0,94,9.695359714832659,77.48515894492478,12.072016481373755
630.0,82,9.055385138137417,66.6099069725894,14.257718647410938
650.0,73,8.54400374531753,57.50652327046477,16.426677708625924
670.0,76,8.717797887081348,49.84776369928468,18.46200684575944
690.0,52,7.211102550927978,43.37366054378107,20.241260504835292
710.0,62,7.874007874011811,37.87634464331148,21.648393637276385
730.0,63,7.937253933193772,33.18858249368356,22.586205405198516
750.0,42,6.48074069840786,29.17505096352989,22.98742609312314
770.0,51,7.14142842854285,25.72564652470056,22.822693284441783
790.0,49,7.0,22.7503185959474,22.104104084581362
810.0,37,6.082762530298219,20.175053303480862,20.883746622956572
830.0,43,6.557438524302,17.938731828003792,19.247458377878463
850.0,30,5.477225575051661,15.990658175595023,17.30484996330707
870.0,33,5.744562646538029,14.288602656584827,15.17720368508294
890.0,15,3.872983346207417,12.797245101945625,12.985095926138996
910.0,27,5.196152422706632,11.486929744789895,10.837473218986137
930.0,22,4.69041575982343,10.332664459753238,8.823489791873635
950.0,18,4.242640687119285,9.313312612952965,7.00780830128117
970.0,10,3.1622776601683795,8.410937509469983,5.429420946680212
990.0,6,2.449489742783178,7.6102683287445005,4.103498606997176
1010.0,15,3.872983346207417,6.898263233424175,3.0254121164166428
1030.0,7,2.6457513110645907,6.263750552399654,2.17592673717676
1050.0,7,2.6457513110645907,5.697132962895251,1.526628869320702
1070.0,9,3.0,5.190142717587674,1.0448456724859403
1090.0,5,2.23606797749979,4.735638395440348,0.6975900879284218
1110.0,4,2.0,4.327435560117261,0.4543368149309433
1130.0,2,1.4142135623730951,3.9601652087052703,0.2886589533105421
1150.0,4,2.0,3.62915507787563,0.1789046428021118
1170.0,3,1.7320508075688772,3.3303298144960807,0.10816522678928872
1190.0,4,2.0,3.060126766597693,0.06379449362105363
1210.0,2,1.4142135623730951,2.8154247496656892,0.036703560773674045
1230.0,3,1.7320508075688772,2.5934836242611543,0.020599784590593084
1250.0,2,1.4142135623730951,2.391892908663247,0.011278377693034693
1270.0,3,1.7320508075688772,2.208527963775625,0.006023654649781076
1290.0,3,1.7320508075688772,2.041512542011824,0.0031383615231405358
1310.0,2,1.4142135623730951,1.8891866990805428,0.0015950538576641156
1330.0,0,0.0,1.7500792368545515,0.0007908192061762849
1350.0,3,1.7320508075688772,1.622883984205117,0.0003824798320599075
1370.0,6,2.449489742783178,1.5064393366791784,0.00018045517750235355
1390.0,1,1.0,1.399710569862866,8.305382327833295e-05
1410.0,0,0.0,1.3017745189512366,3.7288884116567425e-05
1430.0,1,1.0,1.2118062814307686,1.633159570029788e-05
1450.0,0,0.0,1.1290676532950388,6.977620229440802e-06
1470.0,0,0.0,1.0528970538060503,2.908141353291983e-06
1490.0,0,0.0,0.982700731065605,1.1823693711675286e-06
1510.0,1,1.0,0.917945071856949,4.6894326750392384e-07
1530.0,0,0.0,0.8581498654038342,1.8143326445385218e-07
1550.0,0,0.0,0.802882392727195,6.84767278647729e-08
1570.0,0,0.0,0.7517522318596415,2.5211492696916694e-08
1590.0,0,0.0,0.7044066848805646,9.054898680838386e-09
1610.0,1,1.0,0.6605267460337079,3.172474251373258e-09
1630.0,1,1.0,0.6198235414761324,1.0842816100969948e-09
1650.0,0,0.0,0.5820351808064236,3.6150603629991975e-10
1670.0,0,0.0,0.5469239686992736,1.1757594826558687e-10
1690.0,0,0.0,0.5142739319568322,3.730361343935501e-11
1710.0,0,0.0,0.4838886232605356,1.1545501163305826e-11
1730.0,0,0.0,0.4555891680258811,3.4858135358216563e-12
1750.0,2,1.4142135623730951,0.4292125251569834,1.0266560952614037e-12
1770.0,0,0.0,0.4046099362769911,2.94968271416238e-13
1790.0,0,0.0,0.3816455412659848,8.267136181598274e-14
1810.0,1,1.0,0.36019514074730064,2.2602909986545156e-14
1830.0,0,0.0,0.3401450885913213,6.028414345820286e-15
1850.0,0,0.0,0.3213912996078679,1.5684522772762657e-15
1870.0,1,1.0,0.3038383594207984,3.980787535972118e-16
1890.0,0,0.0,0.2873987251012107,9.855897175796778e-17
1910.0,0,0.0,0.2719920065119907,2.380415690953467e-17
1930.0,0,0.0,0.25754431951531365,5.6083992172694786e-18
1950.0,1,1.0,0.24398770324024896,1.2890047300637135e-18
1970.0,0,0.0,0.2312595945209216,2.8900115426561406e-19
1990.0,0,0.0,0.21930235341437962,6.320830129382457e-20
2010.0,0,0.0,0.2080628344069089,1.348584413255096e-20
2030.0,0,0.0,0.19749199853096008,2.806801035531425e-21
2050.0,0,0.0,0.1875445621535639,5.698684265245126e-22
2070.0,0,0.0,0.1781786786707046,1.1286701475962132e-22
2090.0,0,0.0,0.16935564975901077,2.180665017431607e-23
2110.0,1,1.0,0.16103966320360985,4.109986071416358e-24
2130.0,0,0.0,0.15319755464518403,7.556509259195719e-25
2150.0,0,0.0,0.1457985908757491,1.3552879060685395e-25
2170.0,0,0.0,0.13881427256600967,2.3712174498399243e-26
2190.0,0,0.0,0.13221815453146554,4.0470696344033905e-27
2210.0,0,0.0,0.12598568184332481,6.738130951536961e-28
2230.0,0,0.0,0.12009404026670721,1.0943788525621303e-28
2250.0,0,0.0,0.11452201966539752,1.733905454887231e-29
2270.0,0,0.0,0.10924988915180885,2.6798631001592912e-30
2290.0,0,0.0,0.10425928288488866,4.040445750587054e-31
2310.0,0,0.0,0.0995330955292954,5.942585330993835e-32
2330.0,0,0.0,0.0950553864877928,8.526112297129278e-33
2350.0,0,0.0,0.09081129210685676,1.1933178736315192e-33
2370.0,0,0.0,0.08678694513421326,1.6292612108669312e-34
2390.0,0,0.0,0.08296940077738908,2.1699751767630555e-35
2410.0,0,0.0,0.07934656877541502,2.819345426119786e-36
2430.0,0,0.0,0.07590715095228875,3.573314875100413e-37
2450.0,0,0.0,0.0726405837714767,4.417980157104241e-38
2470.0,0,0.0,0.06953698545621874,5.328509077295718e-39
2490.0,0,0.0,0.06658710728126957,6.269272311989449e-40
2510.0,0,0.0,0.06378228867846208,7.195451228986684e-41
2530.0,0,0.0,0.06111441583156376,8.056166043944123e-42
2550.0,0,0.0,0.058575883465693535,8.798897509458952e-43
2570.0,0,0.0,0.056159559563428156,9.374704442447743e-44
2590.0,0,0.0,0.05385875276397015,9.743531317603584e-45
2610.0,0,0.0,0.051667182223632147,9.87881065655575e-46
2630.0,0,0.0,0.049578949735669786,9.770626524938945e-47
2650.0,0,0.0,0.047588513925382,9.426916054918172e-48
2670.0,0,0.0,0.04569066635258205,8.872506820169464e-49
2690.0,0,0.0,0.043880509368200794,8.146152184984037e-50
2710.0,0,0.0,0.04215343558507618,7.296056222123295e-51
